usertype,start_station_id,start_station_name,zip_code_start,borough_start,neighborhood_start,end_station_name,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,3134,3 Ave & E 62 St,10065,Manhattan,Upper East Side,E 75 St & 3 Ave,10021,Manhattan,Upper East Side,2015-12-02,2015-12-02,49.3,2.9,0.21,10.0,1
Subscriber,228,E 48 St & 3 Ave,10017,Manhattan,Gramercy Park and Murray Hill,E 75 St & 3 Ave,10021,Manhattan,Upper East Side,2015-12-09,2015-12-09,45.8,2.7,0.0,10.0,1
Subscriber,524,W 43 St & 6 Ave,10110,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-09-09,2015-09-09,82.0,4.0,0.0,10.0,1
Subscriber,521,8 Ave & W 31 St,10199,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2014-10-17,2014-10-17,64.6,4.0,0.12,10.0,6
Customer,3163,Central Park West & W 68 St,10023,Manhattan,Upper West Side,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-09-20,2015-09-20,73.9,6.3,0.0,20.0,2
Subscriber,533,Broadway & W 39 St,10018,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-07-30,2015-07-30,80.5,4.6,0.0,10.0,1
Subscriber,2006,Central Park S & 6 Ave,10023,Manhattan,Upper West Side,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2014-05-19,2014-05-19,60.3,4.3,0.0,10.0,1
Subscriber,519,Pershing Square North,10168,Manhattan,Gramercy Park and Murray Hill,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-11-25,2015-11-25,42.5,2.3,0.0,10.0,1
Subscriber,441,E 52 St & 2 Ave,10022,Manhattan,Gramercy Park and Murray Hill,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2014-05-19,2014-05-19,60.3,4.3,0.0,10.0,2
Subscriber,352,W 56 St & 6 Ave,10019,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-11-02,2015-11-02,59.4,2.6,0.0,0.0,1
Customer,173,Broadway & W 49 St,10019,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-10-22,2015-10-22,65.4,4.1,0.0,30.0,2
Subscriber,477,W 41 St & 8 Ave,10018,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-05-28,2015-05-28,75.9,3.3,0.08,10.0,6
Subscriber,444,Broadway & W 24 St,10010,Manhattan,Gramercy Park and Murray Hill,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2014-04-08,2014-04-08,52.6,5.6,0.86,20.0,1
Subscriber,533,Broadway & W 39 St,10018,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2014-08-07,2014-08-07,74.4,3.6,0.0,10.0,2
Customer,520,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-09-19,2015-09-19,74.7,1.8,0.0,10.0,8
Subscriber,500,Broadway & W 51 St,10019,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2014-06-26,2014-06-26,76.6,3.4,0.15,0.0,2
Subscriber,72,W 52 St & 11 Ave,10019,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2014-03-19,2014-03-19,36.9,6.2,0.0,10.0,1
Subscriber,2021,W 45 St & 8 Ave,10036,Manhattan,Chelsea and Clinton,W 52 St & 5 Ave,10103,Manhattan,Chelsea and Clinton,2015-11-19,2015-11-19,59.5,5.4,0.0,10.0,1
Subscriber,3124,46 Ave & 5 St,11101,Queens,Northwest Queens,45 Rd & 11 St,11101,Queens,Northwest Queens,2015-12-07,2015-12-07,48.0,2.9,0.0,0.0,10
Subscriber,3099,Leonard St & Manhattan Ave,11222,Brooklyn,Greenpoint,Jackson Ave & 46 Rd,11101,Queens,Northwest Queens,2015-12-13,2015-12-13,61.8,2.0,0.0,20.0,2
Customer,3115,India St & Manhattan Ave,11222,Brooklyn,Greenpoint,Queens Plaza North & Crescent St,11101,Queens,Northwest Queens,2015-08-31,2015-08-31,81.7,3.8,0.13,20.0,1
Subscriber,3126,44 Dr & Jackson Ave,11101,Queens,Northwest Queens,46 Ave & 5 St,11101,Queens,Northwest Queens,2015-09-17,2015-09-17,77.0,1.3,0.0,10.0,11
Subscriber,3118,McGuinness Blvd & Eagle St,11222,Brooklyn,Greenpoint,Vernon Blvd & 50 Ave,11101,Queens,Northwest Queens,2015-08-28,2015-08-28,72.7,2.5,0.0,10.0,4
Customer,3124,46 Ave & 5 St,11101,Queens,Northwest Queens,45 Rd & 11 St,11101,Queens,Northwest Queens,2015-10-25,2015-10-25,59.1,4.0,0.02,10.0,2
Subscriber,3120,Center Blvd & Borden Ave,11101,Queens,Northwest Queens,Center Blvd & Borden Ave,11101,Queens,Northwest Queens,2015-08-09,2015-08-10,75.0,2.9,0.0,10.0,1
Subscriber,3112,Milton St & Franklin St,11222,Brooklyn,Greenpoint,Franklin St & Dupont St,11222,Brooklyn,Greenpoint,2015-09-04,2015-09-04,80.6,5.0,0.0,10.0,1
Subscriber,3113,Greenpoint Ave & Manhattan Ave,11222,Brooklyn,Greenpoint,N Henry St & Richardson St,11222,Brooklyn,Greenpoint,2015-11-05,2015-11-05,62.8,1.9,0.0,10.0,1
